S.No.,Property type,No_of_Beds,Bathroom
2126,condo,1.00,1.00
2127,condo,2.00,2.00
2128,condo,2.00,2.00
2129,condo,2.00,2.00
2130,condo,1.00,1.00
2131,condo,2.00,2.00
2132,condo,1.00,1.00
2133,condo,1.00,1.00
2134,condo,1.00,1.00
2135,condo,2.00,1.00
2136,condo,2.00,2.00
2137,condo,2.00,2.00
2138,condo,1.00,1.00
2139,condo,1.00,1.00
2140,condo,2.00,2.50
2141,condo,1.00,1.00
2142,condo,3.00,2.00
2143,condo,3.00,2.00
2144,condo,1.00,1.00
2145,condo,2.00,2.50
2146,condo,2.00,2.00
2147,condo,2.00,2.00
2148,condo,2.00,2.00
2149,condo,2.00,1.75
2150,condo,1.00,1.00
2151,condo,2.00,2.00
2152,condo,2.00,2.00
2153,condo,3.00,2.00
2154,condo,2.00,2.00
2155,condo,2.00,2.00
2156,condo,3.00,2.00
2157,condo,1.00,1.00
2158,condo,3.00,2.50
2159,condo,2.00,2.00
2160,condo,2.00,2.00
2161,condo,1.00,1.00
2162,condo,3.00,3.00
2163,condo,1.00,1.00
2164,condo,3.00,2.00
2165,condo,2.00,2.00
2166,condo,1.00,1.00
2167,condo,2.00,1.00
2168,condo,2.00,2.00
2169,condo,2.00,2.00
2170,condo,2.00,2.00
2171,condo,1.00,1.00
2172,condo,2.00,1.00
2173,condo,2.00,2.00
2174,condo,1.00,1.50
2175,condo,2.00,2.00
2176,condo,3.00,1.75
2177,condo,1.00,1.00
2178,condo,2.00,2.00
2179,condo,3.00,2.00
2180,condo,2.00,2.50
2181,condo,1.00,1.00
2182,condo,2.00,2.00
2183,condo,3.00,2.00
2184,condo,2.00,2.00
2185,condo,2.00,2.00
2186,condo,2.00,2.00
2187,condo,1.00,1.50
2188,condo,1.00,1.50
2189,condo,2.00,2.00
2190,condo,3.00,2.00
2191,condo,2.00,2.00
2192,condo,1.00,1.00
2193,condo,1.00,1.00
2194,condo,2.00,2.50
2195,condo,1.00,1.00
2196,condo,2.00,2.00
2197,condo,2.00,2.50
2198,condo,1.00,1.00
2199,condo,2.00,2.00
2200,condo,2.00,2.00
2201,house,4.00,3.50
2202,house,4.00,4.00
2203,house,4.00,4.00
2204,house,4.00,3.50
2205,house,4.00,2.50
2206,house,4.00,2.50
2207,house,5.00,3.50
2208,house,3.00,3.50
2209,house,5.00,5.00
2210,house,4.00,3.50
2211,house,3.00,2.50
2212,house,4.00,2.50
2213,house,2.00,1.00
2214,house,3.00,2.50
2215,house,3.00,2.50
2216,house,3.00,2.50
2217,house,3.00,4.00
2218,house,3.00,3.00
2219,house,4.00,4.00
2220,house,5.00,3.50
2221,house,5.00,3.00
2222,house,2.00,2.00
2223,house,4.00,2.00
2224,house,3.00,2.50
2225,house,4.00,4.00
2226,house,3.00,1.00
2227,house,4.00,3.50
2228,house,2.00,1.00
2229,house,2.00,1.00
2230,house,3.00,3.00
2231,house,4.00,2.00
2232,house,3.00,2.50
2233,house,3.00,2.00
2234,house,5.00,3.00
2235,house,3.00,2.50
2236,house,4.00,2.50
2237,house,3.00,3.50
2238,house,3.00,3.50
2239,house,3.00,2.50
2240,house,3.00,3.00
2241,house,5.00,3.50
2242,house,5.00,2.50
2243,house,3.00,2.00
2244,house,3.00,2.50
2245,house,2.00,2.00
2246,house,3.00,3.00
2247,house,4.00,2.50
2248,house,3.00,1.50
2249,house,4.00,2.00
2250,house,3.00,2.50
2251,house,3.00,2.00
2252,house,3.00,2.00
2253,house,3.00,2.00
2254,house,3.00,2.50
2255,house,3.00,2.50
2256,house,4.00,3.00
2257,house,3.00,2.50
2258,house,3.00,3.00
2259,house,3.00,3.00
2260,house,3.00,2.00
2261,house,2.00,2.00
2262,house,3.00,3.50
2263,house,2.00,2.50
2264,house,3.00,2.50
2265,house,4.00,4.00
2266,house,2.00,1.50
2267,house,3.00,2.00
2268,house,3.00,2.50
2269,house,2.00,1.50
2270,house,2.00,1.50
2271,house,4.00,4.00
2272,house,3.00,2.50
2273,house,4.00,3.50
2274,house,2.00,1.00
2275,house,5.00,4.00
2276,house,4.00,3.00
2277,house,2.00,1.00
2278,house,3.00,2.50
2279,house,3.00,1.50
2280,house,3.00,3.00
2281,house,3.00,2.50
2282,house,3.00,2.00
2283,house,2.00,1.00
2284,house,2.00,1.00
2285,house,2.00,2.00
2286,house,3.00,2.00
2287,house,4.00,2.00
2288,house,2.00,1.00
2289,house,3.00,2.00
2290,house,2.00,2.00
2291,house,4.00,3.00
2292,house,2.00,2.00
2293,house,2.00,2.00
2294,house,3.00,2.00
2295,house,1.00,1.00
2296,house,3.00,2.00
2297,house,2.00,2.00
2298,house,3.00,1.50
2299,house,3.00,1.50
2300,house,3.00,2.00
2301,house,2.00,1.00
2302,house,3.00,2.50
2303,house,2.00,1.00
2304,house,3.00,2.00
2305,house,4.00,2.50
2306,house,3.00,1.00
2307,house,3.00,2.50
2308,house,3.00,2.00
2309,house,2.00,1.00
2310,house,3.00,2.00
2311,house,4.00,2.00
2312,house,3.00,2.50
2313,house,3.00,1.00
2314,house,3.00,2.00
2315,house,3.00,2.00
2316,house,4.00,2.50
2317,house,3.00,2.00
2318,house,2.00,1.00
2319,house,3.00,2.00
2320,house,4.00,2.00
2321,house,3.00,3.00
2322,house,3.00,1.50
2323,house,4.00,2.00
2324,house,3.00,2.00
2325,house,2.00,1.00
2326,house,3.00,2.00
2327,house,5.00,3.00
2328,house,4.00,2.00
2329,house,3.00,2.50
2330,house,3.00,2.00
2331,house,4.00,1.00
2332,house,4.00,3.00
2333,house,4.00,2.00
2334,house,4.00,2.00
2335,house,3.00,2.00
2336,house,3.00,2.00
2337,house,3.00,2.50
2338,house,3.00,2.00
2339,house,3.00,1.00
2340,house,2.00,2.00
2341,house,4.00,1.50
2342,house,4.00,2.00
2343,house,3.00,1.00
2344,house,2.00,1.00
2345,house,4.00,2.00
2346,house,2.00,2.00
2347,house,3.00,2.50
2348,house,3.00,2.50
2349,house,5.00,3.00
2350,house,3.00,2.00
2351,house,2.00,1.00
2352,house,2.00,1.00
2353,house,3.00,2.00
2354,house,3.00,2.00
2355,house,3.00,2.00
2356,house,3.00,2.00
2357,house,4.00,3.50
2358,house,4.00,1.00
2359,house,4.00,3.50
2360,house,2.00,1.00
2361,house,2.00,1.50
2362,house,2.00,2.00
2363,house,3.00,2.00
2364,house,3.00,2.00
2365,house,3.00,1.50
2366,house,3.00,1.00
2367,house,3.00,2.00
2368,house,3.00,2.00
2369,house,2.00,2.00
2370,house,2.00,1.00
2371,house,4.00,2.50
2372,house,0.00,—
2373,house,4.00,1.00
2374,house,1.00,1.00
2375,house,2.00,1.00
2376,house,2.00,1.00
2377,house,3.00,2.50
2378,house,3.00,2.00
2379,house,2.00,1.00
2380,house,4.00,2.00
2381,house,4.00,2.00
2382,house,2.00,1.50
2383,house,3.00,2.50
2384,house,4.00,2.50
2385,house,3.00,2.00
2386,house,3.00,2.00
2387,house,2.00,1.00
2388,house,4.00,4.00
2389,house,3.00,2.00
2390,house,2.00,1.00
2391,house,3.00,2.00
2392,house,3.00,2.00
2393,house,4.00,4.50
2394,house,10.00,12.50
2395,house,3.00,2.00
2396,house,3.00,2.00
2397,house,3.00,2.00
2398,house,3.00,2.00
2399,house,3.00,3.00
2400,house,3.00,2.50
2401,house,3.00,2.00
2402,house,3.00,1.00
2403,house,4.00,2.00
2404,house,3.00,1.00
2405,house,2.00,1.50
2406,house,3.00,1.50
2407,house,3.00,2.00
2408,house,2.00,1.00
2409,house,4.00,2.50
2410,house,3.00,1.00
2411,house,4.00,3.50
2412,house,4.00,1.50
2413,house,3.00,3.00
2414,house,3.00,3.00
2415,house,3.00,1.50
2416,house,3.00,1.00
2417,house,2.00,2.00
2418,house,2.00,1.00
2419,house,2.00,1.00
2420,house,4.00,2.50
2421,house,3.00,1.00
2422,house,2.00,1.00
2423,house,3.00,2.00
2424,house,3.00,1.00
2425,house,3.00,1.50
2426,house,3.00,2.50
2427,house,3.00,1.00
2428,house,4.00,1.50
2429,house,2.00,1.00
2430,house,3.00,2.50
2431,house,3.00,1.00
2432,house,3.00,1.00
2433,house,4.00,3.50
2434,house,4.00,3.50
2435,house,3.00,2.00
2436,house,2.00,2.00
2437,house,2.00,2.00
2438,house,3.00,2.00
2439,house,3.00,4.00
2440,house,3.00,3.50
2441,house,3.00,1.00
2442,house,2.00,1.00
2443,house,4.00,2.00
2444,house,2.00,1.00
2445,house,5.00,4.50
2446,house,3.00,2.50
2447,house,3.00,1.50
2448,house,3.00,2.50
2449,house,3.00,1.00
2450,house,3.00,1.00
2451,house,3.00,1.00
2452,house,3.00,1.50
2453,house,3.00,2.00
2454,house,3.00,2.00
2455,house,4.00,2.00
2456,house,3.00,1.50
2457,house,3.00,1.50
2458,house,3.00,2.00
2459,house,3.00,1.50
2460,house,3.00,2.50
2461,house,3.00,2.00
2462,house,3.00,4.00
2463,house,3.00,2.00
2464,house,3.00,2.00
2465,house,3.00,2.00
2466,house,3.00,1.50
2467,house,2.00,1.00
2468,house,3.00,1.00
2469,house,3.00,2.00
2470,house,3.00,2.00
2471,house,3.00,1.00
2472,house,6.00,4.50
2473,house,3.00,2.00
2474,house,2.00,1.00
2475,house,3.00,2.00
2476,house,2.00,1.00
2477,house,4.00,1.00
2478,house,3.00,1.00
2479,house,2.00,1.00
2480,house,3.00,2.00
2481,house,2.00,1.00
2482,house,2.00,2.00
2483,house,2.00,1.00
2484,house,4.00,2.00
2485,house,4.00,1.00
2486,house,3.00,1.00
2487,house,4.00,4.00
2488,house,3.00,1.00
2489,house,3.00,1.00
2490,house,4.00,2.00
2491,house,3.00,2.50
2492,house,3.00,2.00
2493,house,4.00,2.00
2494,house,3.00,2.00
2495,house,2.00,1.00
2496,house,3.00,2.00
2497,house,2.00,1.00
2498,house,3.00,2.50
2499,house,2.00,1.00
2500,house,3.00,1.00
2501,house,3.00,2.00
2502,house,3.00,1.50
2503,house,3.00,1.00
2504,house,3.00,1.00
2505,house,3.00,2.00
2506,house,3.00,2.50
2507,house,3.00,1.00
2508,house,3.00,1.00
2509,house,3.00,1.00
2510,house,4.00,2.00
2511,house,3.00,2.00
2512,house,3.00,2.50
2513,house,3.00,2.00
2514,house,3.00,2.50
2515,house,2.00,2.00
2516,house,2.00,1.00
2517,house,5.00,3.00
2518,house,5.00,2.50
2519,house,3.00,1.00
2520,house,2.00,1.00
