S.No.,Property type,No_of_Beds,Bathroom
387,house,4.00,3.00
388,house,4.00,1.00
389,house,4.00,2.50
390,house,4.00,3.50
391,house,5.00,2.50
392,house,4.00,2.50
393,house,4.00,2.50
394,house,3.00,2.50
395,house,6.00,2.00
396,house,2.00,1.50
397,house,3.00,2.50
398,house,6.00,2.50
399,house,6.00,6.50
400,house,5.00,2.50
401,house,6.00,2.00
402,house,4.00,3.50
403,house,4.00,5.50
404,house,4.00,2.00
405,house,6.00,4.00
406,house,5.00,2.00
407,house,3.00,2.50
408,house,5.00,6.00
409,house,5.00,3.50
410,house,6.00,8.50
411,house,4.00,2.50
412,house,8.00,3.00
413,house,5.00,3.50
414,house,5.00,2.50
415,house,4.00,1.50
416,house,4.00,3.50
417,house,4.00,4.50
418,house,4.00,3.50
419,house,2.00,2.50
420,house,5.00,6.50
421,house,4.00,2.00
422,house,2.00,1.00
423,house,5.00,6.50
424,house,4.00,3.50
425,house,4.00,2.00
426,house,5.00,2.50
427,house,6.00,1.50
428,house,4.00,3.50
429,house,5.00,2.50
430,house,4.00,3.50
431,house,5.00,5.00
432,house,4.00,3.50
433,house,3.00,3.00
434,house,3.00,1.00
435,house,5.00,4.00
436,house,6.00,5.00
437,house,4.00,2.50
438,house,5.00,3.50
439,house,4.00,5.50
440,house,5.00,3.00
441,condo,2.00,2.00
442,condo,2.00,2.00
443,condo,2.00,2.50
444,condo,2.00,1.00
445,condo,3.00,2.00
446,condo,2.00,2.00
447,condo,1.00,1.00
448,condo,1.00,1.00
449,condo,1.00,1.00
450,condo,2.00,1.50
451,condo,1.00,1.50
452,condo,1.00,1.00
453,condo,1.00,1.00
454,condo,1.00,1.00
455,condo,2.00,2.50
456,condo,3.00,3.50
457,condo,1.00,1.00
458,condo,2.00,2.00
459,condo,3.00,3.00
460,condo,3.00,3.00
461,condo,2.00,2.50
462,condo,2.00,2.50
463,condo,2.00,1.50
464,condo,2.00,2.00
465,condo,2.00,2.00
466,condo,2.00,2.50
467,condo,2.00,2.00
468,condo,2.00,2.50
469,condo,1.00,1.00
470,condo,2.00,1.50
471,condo,1.00,2.00
472,condo,3.00,2.50
473,condo,1.00,1.00
474,condo,1.00,1.00
475,condo,2.00,2.00
476,condo,2.00,2.50
477,condo,2.00,2.50
478,condo,2.00,2.00
479,condo,2.00,1.00
480,condo,1.00,1.00
481,condo,1.00,1.00
482,condo,2.00,2.00
483,condo,3.00,1.50
484,condo,2.00,1.00
485,condo,1.00,1.50
486,condo,2.00,2.00
487,condo,2.00,2.50
488,condo,2.00,2.00
489,condo,1.00,1.00
490,condo,1.00,1.00
491,condo,3.00,3.50
492,condo,2.00,2.00
493,condo,2.00,1.00
494,condo,2.00,2.00
495,condo,2.00,1.50
496,condo,1.00,1.00
497,condo,2.00,2.00
498,condo,3.00,3.50
499,condo,2.00,2.50
500,condo,2.00,2.50
501,condo,1.00,1.00
502,condo,1.00,1.00
503,condo,2.00,2.00
504,condo,2.00,2.00
505,condo,1.00,1.00
506,condo,2.00,2.00
507,condo,0.00,1.00
508,condo,1.00,1.00
509,condo,2.00,2.00
510,condo,1.00,1.00
511,condo,2.00,2.50
512,condo,2.00,2.00
513,condo,2.00,2.00
514,condo,2.00,2.00
515,condo,2.00,2.00
516,condo,2.00,2.00
517,condo,2.00,2.50
518,condo,2.00,2.00
519,condo,1.00,1.00
520,condo,1.00,1.00
521,condo,1.00,1.00
522,condo,2.00,2.00
523,condo,1.00,1.00
524,condo,2.00,2.00
525,condo,1.00,1.00
526,condo,2.00,2.00
527,condo,2.00,2.50
528,condo,1.00,1.00
529,condo,2.00,2.50
530,condo,1.00,1.00
531,condo,1.00,1.00
532,condo,1.00,1.00
533,condo,1.00,2.00
534,condo,2.00,2.50
535,condo,2.00,2.00
536,condo,2.00,2.00
537,condo,1.00,1.00
538,condo,1.00,1.00
539,condo,1.00,1.00
540,condo,3.00,3.50
541,condo,1.00,1.00
542,condo,2.00,2.00
543,condo,2.00,2.00
544,condo,1.00,1.00
545,condo,2.00,2.00
546,condo,2.00,1.50
547,condo,2.00,2.00
548,condo,2.00,2.50
549,condo,1.00,1.00
550,condo,2.00,1.00
551,condo,1.00,1.00
552,condo,1.00,1.00
553,condo,3.00,2.50
554,condo,2.00,2.00
555,condo,3.00,3.50
556,condo,2.00,2.00
557,condo,3.00,3.50
558,condo,2.00,2.00
559,condo,1.00,1.00
560,condo,2.00,2.50
561,condo,2.00,2.50
562,condo,18.00,21.00
563,condo,2.00,2.50
564,condo,2.00,2.00
565,condo,3.00,3.00
566,condo,2.00,2.00
567,condo,3.00,2.50
568,condo,2.00,2.50
569,condo,2.00,2.00
570,condo,2.00,1.00
571,condo,2.00,2.00
572,condo,2.00,2.00
573,condo,1.00,1.00
574,condo,2.00,2.00
575,condo,2.00,2.50
576,condo,3.00,3.50
577,condo,2.00,2.00
578,condo,1.00,1.00
579,condo,1.00,1.00
580,condo,2.00,2.50
581,condo,1.00,1.00
582,condo,2.00,2.50
583,condo,2.00,1.50
584,condo,2.00,2.00
585,condo,3.00,3.50
586,condo,3.00,3.50
587,condo,1.00,1.00
588,condo,2.00,2.50
589,condo,2.00,2.00
590,condo,2.00,2.50
591,condo,1.00,1.50
592,condo,1.00,1.50
593,condo,2.00,2.50
594,condo,2.00,1.00
595,condo,3.00,3.50
596,condo,3.00,3.50
597,condo,2.00,2.50
598,condo,2.00,1.00
599,condo,2.00,2.00
600,condo,2.00,2.00
601,condo,1.00,1.00
602,condo,2.00,2.50
603,condo,3.00,4.50
604,condo,2.00,2.00
605,condo,2.00,2.50
606,condo,1.00,1.00
607,condo,2.00,2.00
608,condo,2.00,2.00
609,condo,2.00,2.00
610,condo,0.00,1.00
611,condo,2.00,1.00
612,condo,2.00,2.00
613,condo,1.00,1.50
614,condo,2.00,2.50
615,condo,2.00,2.50
616,condo,2.00,2.00
617,condo,2.00,2.50
618,condo,2.00,2.00
619,condo,5.00,3.00
620,condo,2.00,1.50
621,condo,2.00,2.00
622,condo,3.00,3.50
623,condo,1.00,1.00
624,condo,2.00,2.00
625,condo,2.00,1.00
626,condo,1.00,1.00
627,condo,2.00,2.50
628,condo,1.00,1.50
629,condo,2.00,2.50
630,condo,2.00,2.00
631,condo,2.00,2.50
632,condo,2.00,2.00
633,condo,2.00,2.50
634,condo,2.00,2.50
635,condo,2.00,2.00
636,condo,2.00,2.00
637,condo,3.00,2.00
638,condo,1.00,1.00
639,condo,2.00,2.00
640,condo,2.00,2.00
641,condo,3.00,3.50
642,condo,2.00,2.00
643,condo,2.00,2.00
644,condo,2.00,2.00
645,condo,2.00,1.50
646,condo,1.00,1.50
647,condo,1.00,1.50
648,condo,2.00,2.00
649,condo,1.00,1.00
650,condo,2.00,1.50
651,condo,2.00,2.50
652,condo,2.00,2.00
653,condo,2.00,1.00
654,condo,2.00,1.00
655,condo,2.00,1.00
656,condo,1.00,1.00
657,condo,3.00,3.50
658,condo,2.00,2.00
659,condo,2.00,1.00
660,condo,2.00,2.00
661,condo,2.00,2.50
662,condo,42.00,3.50
663,condo,2.00,2.00
664,condo,2.00,2.50
665,condo,2.00,2.50
666,condo,2.00,2.50
667,condo,2.00,2.50
668,condo,3.00,2.00
669,condo,2.00,2.00
670,condo,4.00,3.50
671,condo,1.00,1.50
672,condo,2.00,2.50
673,condo,2.00,2.50
674,condo,2.00,2.50
675,condo,2.00,2.50
676,condo,2.00,2.00
677,condo,1.00,1.00
678,condo,2.00,2.00
679,condo,2.00,2.50
680,condo,2.00,1.50
681,condo,1.00,1.00
682,condo,2.00,2.50
683,condo,1.00,1.00
684,condo,1.00,1.50
685,condo,2.00,2.50
686,condo,1.00,1.00
687,condo,2.00,2.00
688,condo,2.00,2.00
689,condo,2.00,2.50
690,condo,1.00,1.00
691,condo,1.00,1.00
692,condo,1.00,1.00
693,condo,1.00,1.00
694,condo,1.00,1.00
695,condo,1.00,1.00
696,condo,2.00,4.00
697,condo,1.00,1.00
698,condo,2.00,4.50
699,condo,2.00,2.50
700,condo,2.00,1.50
701,condo,1.00,1.50
702,condo,2.00,2.50
703,condo,2.00,2.50
704,condo,1.00,1.00
705,condo,1.00,1.50
706,condo,1.00,1.00
707,condo,2.00,1.00
708,condo,2.00,2.00
709,condo,2.00,2.50
710,condo,1.00,1.00
711,condo,2.00,2.50
712,condo,2.00,2.00
713,condo,2.00,2.00
714,condo,1.00,1.50
715,condo,2.00,2.00
716,condo,1.00,1.00
717,condo,2.00,2.50
718,condo,2.00,2.00
719,condo,3.00,3.50
720,condo,1.00,1.00
721,house,4.00,3.50
722,house,3.00,2.00
723,house,5.00,4.00
724,house,4.00,2.50
725,house,4.00,2.00
726,house,4.00,4.50
727,house,4.00,2.50
728,house,4.00,2.50
729,house,3.00,2.50
730,house,4.00,2.50
731,house,4.00,3.50
732,house,4.00,2.50
733,house,3.00,2.00
734,house,4.00,2.50
735,house,3.00,2.00
736,house,4.00,2.00
737,house,4.00,2.50
738,house,6.00,3.50
739,house,3.00,3.00
740,house,4.00,2.00
741,house,4.00,2.50
742,house,4.00,2.50
743,house,3.00,2.00
744,house,4.00,3.50
745,house,3.00,2.50
746,house,2.00,1.00
747,house,4.00,3.00
748,house,4.00,3.50
749,house,4.00,2.00
750,house,0.00,1.00
751,house,4.00,4.00
752,house,6.00,3.00
753,house,3.00,2.00
754,house,3.00,2.00
755,house,3.00,2.50
756,house,3.00,2.00
757,house,3.00,2.50
758,house,4.00,3.50
759,house,4.00,2.00
760,house,3.00,2.00
761,house,3.00,2.50
762,house,3.00,2.50
763,house,4.00,2.00
764,house,3.00,3.50
765,house,3.00,3.50
766,house,3.00,2.50
767,house,3.00,2.00
768,house,4.00,3.50
769,house,5.00,4.00
770,house,3.00,2.00
771,house,3.00,3.50
772,house,4.00,2.50
773,house,3.00,2.50
774,house,3.00,1.00
775,house,4.00,2.00
776,house,4.00,4.50
777,house,3.00,2.00
778,house,3.00,1.50
779,house,5.00,3.50
780,house,4.00,3.50
781,house,3.00,2.50
782,house,4.00,2.50
783,house,3.00,2.00
784,house,5.00,6.50
785,house,4.00,2.50
786,house,4.00,2.50
787,house,5.00,3.50
788,house,3.00,2.50
789,house,4.00,2.50
790,house,4.00,2.50
791,house,3.00,2.00
792,house,5.00,4.50
793,house,3.00,2.00
794,house,3.00,4.00
795,house,4.00,3.50
796,house,3.00,2.00
797,house,2.00,1.00
798,house,4.00,2.50
799,house,3.00,2.00
800,house,5.00,6.00
801,house,4.00,2.50
802,house,3.00,3.50
803,house,5.00,3.00
804,house,3.00,2.50
805,house,3.00,2.50
806,house,3.00,2.50
807,house,4.00,2.00
808,house,3.00,2.00
809,house,4.00,3.50
810,house,4.00,3.50
811,house,4.00,2.50
812,house,3.00,2.00
813,house,4.00,2.50
814,house,4.00,4.50
815,house,3.00,2.00
816,house,3.00,2.00
817,house,2.00,2.00
818,house,5.00,3.00
819,house,3.00,2.50
820,house,4.00,2.50
821,house,3.00,2.50
822,house,3.00,1.00
823,house,3.00,2.50
824,house,3.00,2.50
825,house,4.00,4.50
826,house,5.00,3.50
827,house,2.00,1.00
828,house,3.00,2.50
829,house,3.00,2.00
830,house,3.00,2.00
831,house,3.00,2.50
832,house,4.00,2.00
833,house,4.00,2.50
834,house,3.00,2.50
835,house,3.00,2.50
836,house,4.00,3.50
837,house,4.00,5.00
838,house,4.00,2.50
839,house,4.00,3.50
840,house,3.00,2.50
841,house,3.00,3.50
842,house,4.00,2.50
843,house,4.00,2.00
844,house,5.00,3.50
845,house,2.00,2.50
846,house,2.00,1.00
847,house,4.00,3.50
848,house,5.00,3.50
849,house,4.00,4.00
850,house,3.00,2.50
851,house,0.00,—
852,house,3.00,3.00
853,house,3.00,2.50
854,house,3.00,3.50
855,house,4.00,3.00
856,house,4.00,4.00
857,house,3.00,2.50
858,house,4.00,2.50
859,house,4.00,2.00
860,house,4.00,3.50
861,house,4.00,3.50
862,house,3.00,2.50
863,house,5.00,3.00
864,house,4.00,2.50
865,house,3.00,2.00
866,house,3.00,2.50
867,house,3.00,2.00
868,house,3.00,2.50
869,house,4.00,3.50
870,house,5.00,2.50
871,house,4.00,3.00
872,house,4.00,3.50
873,house,5.00,3.00
874,house,3.00,2.50
875,house,3.00,2.50
876,house,3.00,2.00
877,house,3.00,2.00
878,house,3.00,2.50
879,house,3.00,2.00
880,house,3.00,2.50
881,house,4.00,2.50
882,house,1.00,1.00
883,house,2.00,1.00
884,house,3.00,2.50
885,house,3.00,3.00
886,house,3.00,1.00
887,house,4.00,2.50
888,house,3.00,3.50
889,house,3.00,3.50
890,house,2.00,1.00
891,house,3.00,1.00
892,house,4.00,3.50
893,house,3.00,2.00
894,house,3.00,2.00
895,house,4.00,3.50
896,house,4.00,3.50
897,house,3.00,2.50
898,house,3.00,2.00
899,house,3.00,2.00
900,house,3.00,2.50
901,house,3.00,2.50
902,house,4.00,3.50
903,house,6.00,3.00
904,house,3.00,2.50
905,house,4.00,2.50
906,house,4.00,2.50
907,house,4.00,3.50
908,house,3.00,2.00
909,house,4.00,2.00
910,house,3.00,1.50
911,house,4.00,2.50
912,house,4.00,2.00
913,house,5.00,4.50
914,house,3.00,2.00
915,house,3.00,2.00
916,house,3.00,2.00
917,house,3.00,2.00
918,house,3.00,2.00
919,house,4.00,3.50
920,house,4.00,2.50
921,house,4.00,2.00
922,house,3.00,2.50
923,house,3.00,2.50
924,house,3.00,2.00
925,house,4.00,2.50
926,house,5.00,3.50
927,house,4.00,2.00
928,house,3.00,2.50
929,house,4.00,2.50
930,house,4.00,3.50
931,house,3.00,3.50
932,house,5.00,3.50
933,house,3.00,2.50
934,house,3.00,3.50
935,house,3.00,4.00
936,house,4.00,2.50
937,house,4.00,2.00
938,house,4.00,3.00
939,house,3.00,2.00
940,house,6.00,2.50
941,house,3.00,3.50
942,house,3.00,2.50
943,house,3.00,2.00
944,house,4.00,2.50
945,house,4.00,4.00
946,house,4.00,3.50
947,house,2.00,2.50
948,house,3.00,2.00
949,house,1.00,1.00
950,house,4.00,4.50
951,house,4.00,4.00
952,house,3.00,2.50
