S.No.,Price,Price (in Rs.),No_of_Beds,Address,City,State,State_Code
172,"$260,000.00",21725600.00,1.00,70 W Huron St #2604, Chicago,IL,60654
173,"$824,500.00",68895220.00,3.00,2248 N Fremont St Unit 1S, Chicago,IL,60614
174,"$190,000.00",15876400.00,2.00,7438 N Hermitage Ave Unit 3F, Chicago,IL,60626
175,"$254,000.00",21224240.00,1.00,3520 N Lake Shore Dr Unit 4E, Chicago,IL,60657
176,"$579,000.00",48381240.00,2.00,950 W Barry Ave #4, Chicago,IL,60657
177,"$260,000.00",21725600.00,1.00,1600 S Indiana Ave #1010, Chicago,IL,60616
178,"$385,000.00",32170600.00,2.00,3145 W Palmer Blvd #3, Chicago,IL,60647
179,"$179,000.00",14957240.00,1.00,2016 W Greenleaf Ave Unit 1A, Chicago,IL,60645
180,"$259,000.00",21642040.00,1.00,1313 N Ritchie Ct #2506, Chicago,IL,60610
181,"$425,000.00",35513000.00,2.00,1352 W George St Unit T, Chicago,IL,60657
182,"$599,000.00",50052440.00,2.00,825 N Wood St #2, Chicago,IL,60622
183,"$1,350,000.00",112806000.00,3.00,1201 S Prairie Ave #701, Chicago,IL,60605
184,"$449,900.00",37593644.00,2.00,3741 N Wilton Ave Unit 3N, Chicago,IL,60613
185,"$985,000.00",82306600.00,2.00,1152 W Fulton Market St Unit 5A, Chicago,IL,60607
186,"$599,900.00",50127644.00,3.00,1455 W Wolfram St Unit B, Chicago,IL,60657
187,"$239,638.00",20024151.28,1.00,899 S Plymouth Ct #1408, Chicago,IL,60605
188,"$415,000.00",34677400.00,2.00,720 N Larrabee St #1502, Chicago,IL,60654
189,"$819,900.00",68510844.00,2.00,433 N Wells St #301, Chicago,IL,60654
190,"$589,999.00",49300316.44,2.00,713 W Blackhawk St, Chicago,IL,60610
191,"$469,900.00",39264844.00,3.00,2437 N Kedzie Blvd Unit 2N, Chicago,IL,60647
192,"$409,000.00",34176040.00,2.00,611 S Wells St #906, Chicago,IL,60607
193,"$232,500.00",19427700.00,1.00,655 W Irving Park Rd #5503, Chicago,IL,60613
194,"$350,000.00",29246000.00,2.00,1550 N Lake Shore Dr Unit 2B, Chicago,IL,60610
195,"$349,900.00",29237644.00,1.00,340 W Superior St #1603, Chicago,IL,60654
196,"$550,000.00",45958000.00,2.00,689 N Peoria St Unit 3S, Chicago,IL,60642
197,"$435,000.00",36348600.00,2.00,2156 W Ohio St Unit 2W, Chicago,IL,60612
198,"$424,950.00",35508822.00,3.00,653 W Buckingham Pl Unit 2W, Chicago,IL,60657
199,"$550,000.00",45958000.00,2.00,2525 N Sheffield Ave Unit 2B, Chicago,IL,60614
200,"$449,000.00",37518440.00,2.00,8 E Randolph St #1904, Chicago,IL,60601
201,"$1,050,000.00",87738000.00,2.00,2020 N Lincoln Park West Unit 37GH, Chicago,IL,60614
202,"$529,900.00",44278444.00,2.00,1845 N Sheffield Ave #3, Chicago,IL,60614
203,"$385,000.00",32170600.00,1.00,2000 N Lincoln Park Ave W #412, Chicago,IL,60614
204,"$1,925,000.00",160853000.00,4.00,130 N Garland Ct Unit 1001-03, Chicago,IL,60602
205,"$599,000.00",50052440.00,2.00,2023 N Magnolia Ave Unit 2S, Chicago,IL,60614
206,"$209,900.00",17539244.00,2.00,6161 W Higgins Ave #107, Chicago,IL,60630
207,"$489,900.00",40936044.00,2.00,200 E Delaware Pl Unit 6A, Chicago,IL,60611
208,"$250,000.00",20890000.00,3.00,5741 S Michigan Ave Unit 2N, Chicago,IL,60637
209,"$1,295,000.00",108210200.00,3.00,545 N Dearborn St Unit W3601, Chicago,IL,60654
210,"$250,000.00",20890000.00,3.00,5741 S Michigan Ave Unit 2S, Chicago,IL,60637
211,"$250,000.00",20890000.00,3.00,5741 S Michigan Ave Unit 3N, Chicago,IL,60637
212,"$300,000.00",25068000.00,3.00,5741 S Michigan Ave Unit 1S, Chicago,IL,60637
213,"$889,000.00",74284840.00,3.00,1629 S Prairie Ave #2701, Chicago,IL,60616
214,"$340,000.00",28410400.00,2.00,500 S Clinton St #502, Chicago,IL,60607
215,"$775,000.00",64759000.00,3.00,1087 N Hermitage Ave #1, Chicago,IL,60622
216,"$400,000.00",33424000.00,2.00,758 N Larrabee St #327, Chicago,IL,60654
217,"$675,000.00",56403000.00,3.00,1034 N Milwaukee Ave #3, Chicago,IL,60642
218,"$800,000.00",66848000.00,3.00,1430 N La Salle Dr Unit F2, Chicago,IL,60610
219,"$264,900.00",22135044.00,2.00,1668 W Edgewater Ave Unit 2N, Chicago,IL,60660
220,"$345,000.00",28828200.00,1.00,230 W Division St #706, Chicago,IL,60610
221,"$699,000.00",58408440.00,2.00,1022 N Paulina St #3, Chicago,IL,60622
222,"$495,000.00",41362200.00,2.00,1928 W Diversey Pkwy Unit 3-W, Chicago,IL,60614
223,"$515,000.00",43033400.00,2.00,669 N Peoria St Unit 1S, Chicago,IL,60642
224,"$305,000.00",25485800.00,2.00,1420 W Grand Ave Unit G, Chicago,IL,60642
225,"$550,000.00",45958000.00,3.00,421 W Huron St #1001, Chicago,IL,60654
226,"$264,900.00",22135044.00,2.00,5313 N Delphia Ave #113, Chicago,IL,60656
227,"$600,000.00",50136000.00,2.00,503 N Wells St #3, Chicago,IL,60654
228,"$850,000.00",71026000.00,3.00,1437 S Prairie Ave Unit K, Chicago,IL,60605
229,"$625,000.00",52225000.00,3.00,505 N Lake Shore Dr Unit 514-515, Chicago,IL,60611
230,"$399,000.00",33340440.00,2.00,505 N Lake Shore Dr #513, Chicago,IL,60611
231,"$329,000.00",27491240.00,1.00,435 W Erie St #1904, Chicago,IL,60654
232,"$399,800.00",33407288.00,2.00,1546 W Cortez St Unit G, Chicago,IL,60642
233,"$225,000.00",18801000.00,3.00,6722 S Ridgeland Ave #3, Chicago,IL,60649
234,"$270,000.00",22561200.00,2.00,3041 W Sunnyside Ave #3, Chicago,IL,60625
235,"$290,000.00",24232400.00,1.00,1360 N Sandburg Ter Unit 2608C, Chicago,IL,60610
236,"$365,000.00",30499400.00,2.00,1652 W Wabansia Ave #3, Chicago,IL,60622
237,"$429,900.00",35922444.00,2.00,111 W Maple St #1802, Chicago,IL,60610
238,"$315,000.00",26321400.00,1.00,1235 S Prairie Ave #3607, Chicago,IL,60605
239,"$144,900.00",12107844.00,0.00,561 W Stratford Pl Unit 2C, Chicago,IL,60657
240,"$640,000.00",53478400.00,2.00,1226 N Noble St #3, Chicago,IL,60642
241,"$475,000.00",39691000.00,2.00,2511 W Moffat St #401, Chicago,IL,60647
242,"$400,000.00",33424000.00,2.00,222 N Columbus Dr #904, Chicago,IL,60601
243,"$695,000.00",58074200.00,4.00,5052 S Woodlawn Ave Unit 2B, Chicago,IL,60615
244,"$765,000.00",63923400.00,3.00,100 E 14th St #3105, Chicago,IL,60605
245,"$695,000.00",58074200.00,2.00,910 W Madison St #608, Chicago,IL,60607
246,"$299,900.00",25059644.00,2.00,1144 W Schubert Ave #9, Chicago,IL,60614
247,"$174,900.00",14614644.00,0.00,5455 N Sheridan Rd #3509, Chicago,IL,60640
248,"$2,949,000.00",246418440.00,3.00,11 E Walton St #4502, Chicago,IL,60611
249,"$165,000.00",13787400.00,1.00,17 W 35th St #206, Chicago,IL,60616
250,"$749,990.00",62669164.40,3.00,728 W Jackson Blvd #706, Chicago,IL,60661
251,"$215,000.00",17965400.00,2.00,2935 W Berwyn Ave #2, Chicago,IL,60625
252,"$575,000.00",48047000.00,2.00,1617 S Michigan Ave #203, Chicago,IL,60616
253,"$450,000.00",37602000.00,3.00,812 W College Pkwy Unit 2A, Chicago,IL,60608
254,"$510,000.00",42615600.00,2.00,4860 N Clark St Unit 2R, Chicago,IL,60640
255,"$419,000.00",35011640.00,2.00,4755 N Washtenaw Ave #406, Chicago,IL,60625
256,"$350,000.00",29246000.00,2.00,50 E 16th St #909, Chicago,IL,60616
257,"$285,000.00",23814600.00,1.00,1636 N Wells St #1505, Chicago,IL,60614
258,"$435,000.00",36348600.00,2.00,400 E Ohio St #4304, Chicago,IL,60611
259,"$399,999.00",33423916.44,3.00,4030 N Pulaski Rd Unit A, Chicago,IL,60641
260,"$200,000.00",16712000.00,1.00,2323 W Pershing Rd #220, Chicago,IL,60609
261,"$446,000.00",37267760.00,2.00,645 N Kingsbury St #2209, Chicago,IL,60654
262,"$948,500.00",79256660.00,2.00,600 N Fairbanks Ct #3510, Chicago,IL,60611
263,"$200,000.00",16712000.00,2.00,7435 N Ridge Blvd Unit GB, Chicago,IL,60645
264,"$227,500.00",19009900.00,1.00,655 W Irving Park Rd #4603, Chicago,IL,60613
265,"$189,900.00",15868044.00,3.00,6146 N Damen Ave Unit 1H, Chicago,IL,60659
266,"$1,799,999.00",150407916.44,3.00,403 N Wabash Ave Unit 11A, Chicago,IL,60611
267,"$1,055,000.00",88155800.00,2.00,1555 N Astor St Unit 6NE, Chicago,IL,60610
268,"$109,900.00",9183244.00,2.00,6345 N Washtenaw Ave Unit GW, Chicago,IL,60659
269,"$299,900.00",25059644.00,3.00,724 S Oakley Blvd #2, Chicago,IL,60612
270,"$765,000.00",63923400.00,2.00,60 E Monroe St #4903, Chicago,IL,60603
271,"$162,000.00",13536720.00,1.00,1411 W Farwell Ave Unit L1, Chicago,IL,60626
272,"$160,000.00",13369600.00,1.00,7074 N Ridge Blvd Unit 4C, Chicago,IL,60645
273,"$3,400,000.00",284104000.00,3.00,11 E Walton St #4101, Chicago,IL,60611
274,"$525,000.00",43869000.00,2.00,5115 N Clark St Unit 3H, Chicago,IL,60640
275,"$350,000.00",29246000.00,3.00,2709 W Greenleaf Ave #3, Chicago,IL,60645
276,"$124,900.00",10436644.00,0.00,4343 N Clarendon Ave #901, Chicago,IL,60613
277,"$625,000.00",52225000.00,2.00,123 S Green St Unit 703B, Chicago,IL,60607
278,"$699,500.00",58450220.00,4.00,1620 N Oakley Ave #1, Chicago,IL,60647
279,"$400,000.00",33424000.00,1.00,860 W Blackhawk St #1705, Chicago,IL,60642
280,"$575,000.00",48047000.00,1.00,950 N Michigan Ave #3501, Chicago,IL,60611
281,"$275,000.00",22979000.00,2.00,40 E 9th St #604, Chicago,IL,60605
282,"$231,999.00",19385836.44,1.00,1122 N Clark St #1910, Chicago,IL,60610
283,"$400,000.00",33424000.00,2.00,1600 S Indiana Ave #1405, Chicago,IL,60616
284,"$524,999.00",43868916.44,4.00,1443 N Washtenaw Ave Unit 1F, Chicago,IL,60622
285,"$385,000.00",32170600.00,2.00,3200 N Lake Shore Dr #1611, Chicago,IL,60657
